Hole,1,2,3,4,5,6,7,8,9,Out,10,11,12,13,14,15,16,17,18,In,Round,player_id
R1,4,3,5,4,5,4,3,5,4,37,3,4,4,4,4,4,3,4,3,33,70,1447696
R2,4,3,4,3,4,2,3,4,4,31,3,4,3,4,6,4,3,4,3,34,65,1447696
R3,4,4,3,3,4,3,3,5,5,34,2,4,4,3,5,4,3,4,5,34,68,1447696
R4,3,5,3,3,4,5,3,4,4,34,3,4,3,3,4,3,3,3,5,31,65,1447696
R1,3,4,5,3,5,4,3,5,4,36,3,4,6,3,5,4,4,3,6,38,74,1452607
R2,4,4,4,4,5,4,3,5,4,37,3,4,4,4,5,3,3,4,4,34,71,1452607
R3,4,5,4,3,4,4,4,4,3,35,2,4,5,4,5,3,3,4,4,34,69,1452607
R4,4,4,4,3,5,4,3,4,7,38,4,4,4,4,5,4,4,4,4,37,75,1452607
R1,4,4,4,3,4,4,3,5,4,35,3,5,4,4,5,5,3,5,5,39,74,1452618
R2,4,4,4,3,4,3,3,4,4,33,3,3,4,4,6,4,3,3,5,35,68,1452618
R3,4,4,4,3,4,3,3,4,5,34,3,3,5,5,5,4,4,4,4,37,71,1452618
R4,4,4,4,4,4,4,3,4,4,35,3,4,4,4,3,4,2,3,5,32,67,1452618
R1,4,4,4,3,5,4,2,4,4,34,3,6,4,4,4,4,3,4,4,36,70,1459960
R2,5,4,3,2,4,3,3,4,3,31,2,4,4,4,5,4,3,5,5,36,67,1459960
R3,4,4,4,3,4,4,3,5,4,35,2,4,3,3,5,4,3,3,4,31,66,1459960
R4,4,3,3,2,4,4,3,4,4,31,4,5,4,3,4,3,4,3,4,34,65,1459960
R1,4,5,4,3,5,4,3,5,4,37,3,4,4,3,6,5,3,4,5,37,74,1462881
R2,6,3,4,3,4,4,5,4,6,39,3,5,4,5,5,5,3,4,5,39,78,1462881
R3,4,5,4,4,5,3,4,5,3,37,2,4,3,4,5,3,3,4,4,32,69,1462881
R4,5,5,4,3,5,4,5,6,5,42,2,3,4,5,5,4,3,4,5,35,77,1462881
R1,5,4,4,3,5,5,3,5,5,39,3,3,4,4,4,3,5,4,4,34,73,1465366
R2,5,4,4,4,5,3,3,5,5,38,4,4,4,4,4,3,5,3,4,35,73,1465366
R3,3,4,5,3,5,4,3,6,4,37,4,5,3,4,4,4,3,4,4,35,72,1465366
R4,4,4,3,3,5,4,4,4,4,35,2,4,4,3,4,4,2,3,3,29,64,1465366
R1,3,5,4,4,5,5,4,5,4,39,4,4,4,3,4,5,4,3,4,35,74,1466032
R2,2,4,5,3,6,4,3,5,4,36,3,4,3,4,5,3,4,4,4,34,70,1466032
R3,4,4,5,2,4,4,5,5,4,37,3,4,5,5,5,4,4,3,4,37,74,1466032
R4,5,4,4,3,5,4,3,5,3,36,4,4,5,4,5,4,3,4,4,37,73,1466032
R1,4,4,4,3,4,4,3,6,4,36,3,3,4,4,5,5,2,4,5,35,71,1466405
R2,4,4,4,3,5,3,4,4,4,35,3,4,4,4,5,3,3,4,4,34,69,1466405
R3,3,4,4,3,5,3,3,5,4,34,3,3,4,3,4,4,3,4,5,33,67,1466405
R4,5,4,4,2,5,4,3,4,3,34,3,5,5,3,6,3,2,3,5,35,69,1466405
R1,3,4,4,3,5,5,3,5,4,36,3,5,3,4,5,4,3,4,4,35,71,1468121
R2,4,4,4,4,5,3,4,3,5,36,3,3,3,4,6,4,3,4,5,35,71,1468121
R3,4,4,4,3,5,3,3,5,4,35,3,3,5,4,5,4,3,3,4,34,69,1468121
R4,3,4,3,4,6,4,3,5,4,36,3,3,4,3,4,4,4,3,4,32,68,1468121
R1,4,4,5,3,5,4,3,5,5,38,3,5,5,4,5,4,4,4,5,39,77,1468275
R2,4,3,4,3,5,3,2,5,5,34,3,3,5,4,5,4,2,3,4,33,67,1468275
R3,5,5,4,2,5,4,3,5,4,37,2,4,4,4,4,4,2,4,4,32,69,1468275
R4,4,4,4,2,5,4,5,4,4,36,3,4,6,4,4,4,4,3,4,36,72,1468275
R1,4,5,5,3,5,4,4,5,4,39,3,3,5,4,4,4,3,4,4,34,73,1469355
R2,4,3,5,4,6,5,3,6,4,40,3,4,5,4,4,4,3,4,4,35,75,1469355
R3,4,5,4,3,4,3,3,5,5,36,4,4,5,3,5,5,5,4,5,40,76,1469355
R4,4,5,3,3,6,3,3,4,3,34,2,5,5,4,4,4,3,3,4,34,68,1469355
R1,4,4,4,4,5,4,3,5,4,37,3,5,3,4,5,4,4,4,5,37,74,1469359
R2,5,3,4,3,4,4,2,5,4,34,3,5,3,4,5,4,4,3,3,34,68,1469359
R3,4,5,4,3,3,4,4,4,4,35,3,4,5,4,5,3,3,3,5,35,70,1469359
R4,4,4,4,3,5,5,4,5,4,38,3,3,5,4,5,4,3,3,4,34,72,1469359
R1,4,5,4,3,4,5,3,5,4,37,3,5,4,4,4,4,4,5,4,37,74,1481184
R2,4,4,4,3,6,3,3,4,4,35,3,5,4,4,4,4,2,4,3,33,68,1481184
R3,4,4,3,3,5,4,3,4,4,34,4,4,3,4,5,4,3,3,3,33,67,1481184
R4,4,4,4,4,4,4,3,5,4,36,3,4,3,3,4,4,3,2,3,29,65,1481184
R1,3,3,4,4,4,4,3,5,4,34,3,5,4,4,4,5,2,4,4,35,69,1481212
R2,4,4,4,3,4,3,4,6,3,35,3,3,4,5,5,4,3,4,5,36,71,1481212
R3,4,4,4,3,4,3,3,5,4,34,2,6,4,3,7,5,3,4,3,37,71,1481212
R4,5,4,4,3,5,4,3,4,4,36,3,4,5,4,5,4,3,4,6,38,74,1481212
R1,4,4,6,3,4,4,3,5,4,37,3,3,4,4,6,4,2,4,4,34,71,1483660
R2,3,5,4,3,5,3,2,4,5,34,3,3,4,3,5,4,2,3,4,31,65,1483660
R3,4,4,4,4,4,3,3,4,3,33,3,4,4,4,5,3,3,4,4,34,67,1483660
R4,4,4,5,3,5,4,3,5,5,38,2,4,4,3,3,3,2,4,5,30,68,1483660
R1,4,4,5,2,5,3,3,4,5,35,4,3,3,4,6,4,3,5,4,36,71,1483664
R2,5,4,4,3,5,3,4,4,4,36,3,4,4,3,4,4,3,3,4,32,68,1483664
R3,5,5,4,3,5,3,3,4,4,36,3,4,5,4,5,5,3,3,5,37,73,1483664
R4,3,5,4,3,4,4,2,5,3,33,2,4,5,4,3,5,4,4,4,35,68,1483664
R1,4,3,4,4,5,3,3,5,4,35,3,4,5,4,5,3,3,4,3,34,69,1866829
R2,4,3,3,3,5,3,3,5,4,33,4,4,4,3,5,4,3,4,5,36,69,1866829
R3,4,4,4,3,5,4,3,4,4,35,3,4,4,4,5,5,3,4,5,37,72,1866829
R4,4,4,4,3,5,4,3,5,5,37,3,4,5,4,4,4,4,3,4,35,72,1866829
